"type","code","message","context","selector"
"error","aria-allowed-attr","Elements must only use supported ARIA attributes (https://dequeuniversity.com/rules/axe/4.11/aria-allowed-attr?application=axeAPI)","<a id=\"endpoint\" class=\"yt-simple-endpoint style-scope ytd-mini-guide-entry-renderer\" aria-selected=\"true\" aria-label=\"Home\" title=\"Home\" href=\"/\">\n  <yt-icon id=\"icon\" class=\"gu...</a>","#endpoint"
"error","aria-allowed-attr","Elements must only use supported ARIA attributes (https://dequeuniversity.com/rules/axe/4.11/aria-allowed-attr?application=axeAPI)","<a id=\"endpoint\" class=\"yt-simple-endpoint style-scope ytd-mini-guide-entry-renderer\" aria-selected=\"false\" aria-label=\"Shorts\" title=\"Shorts\" href=\"/shorts/\">\n  <yt-icon id=\"icon\" class=\"gu...</a>","#endpoint"
"error","aria-allowed-attr","Elements must only use supported ARIA attributes (https://dequeuniversity.com/rules/axe/4.11/aria-allowed-attr?application=axeAPI)","<a id=\"endpoint\" class=\"yt-simple-endpoint style-scope ytd-mini-guide-entry-renderer\" aria-selected=\"false\" aria-label=\"Subscriptions\" title=\"Subscriptions\" href=\"/feed/subscriptions\">\n  <yt-icon id=\"icon\" class=\"gu...</a>","#endpoint"
"error","aria-allowed-attr","Elements must only use supported ARIA attributes (https://dequeuniversity.com/rules/axe/4.11/aria-allowed-attr?application=axeAPI)","<a id=\"endpoint\" class=\"yt-simple-endpoint style-scope ytd-mini-guide-entry-renderer\" aria-selected=\"false\" aria-label=\"You\" title=\"You\" href=\"/feed/you\">\n  <yt-icon id=\"icon\" class=\"gu...</a>","#endpoint"
"error","aria-prohibited-attr","Elements must only use permitted ARIA attributes (https://dequeuniversity.com/rules/axe/4.11/aria-prohibited-attr?application=axeAPI)","<yt-formatted-string id=\"title\" class=\"style-scope ytd-feed-nudge-renderer\" aria-label=\"Try searching to get started\">Try searching to get started</yt-formatted-string>","#title"
"error","aria-prohibited-attr","Elements must only use permitted ARIA attributes (https://dequeuniversity.com/rules/axe/4.11/aria-prohibited-attr?application=axeAPI)","<yt-formatted-string id=\"subtitle\" split-lines=\"\" class=\"style-scope ytd-feed-nudge-renderer\" aria-label=\"Start watching videos to help u...\">Start watching videos to help us build a feed of videos that you'll love.</yt-formatted-string>","#subtitle"
"error","color-contrast","Elements must meet minimum color contrast ratio thresholds (https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI)","<span id=\"country-code\" class=\"style-scope ytd-topbar-logo-renderer\">\n  IN\n</span>","#country-code"
"error","color-contrast","Elements must meet minimum color contrast ratio thresholds (https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI)","<span class=\"ytAttributedStringHost ytAttributedStringWhiteSpaceNoWrap\" role=\"text\" style=\"\">Sign in</span>","#buttons > ytd-button-renderer > yt-button-shape > a > div:nth-child(2) > span"
"error","color-contrast","Elements must meet minimum color contrast ratio thresholds (https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI)","<span class=\"title style-scope ytd-mini-guide-entry-renderer\">Home</span>","#endpoint > span"
"error","color-contrast","Elements must meet minimum color contrast ratio thresholds (https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI)","<span class=\"title style-scope ytd-mini-guide-entry-renderer\">Shorts</span>","#endpoint > span"
"error","color-contrast","Elements must meet minimum color contrast ratio thresholds (https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI)","<span class=\"title style-scope ytd-mini-guide-entry-renderer\">Subscriptions</span>","#endpoint > span"
"error","color-contrast","Elements must meet minimum color contrast ratio thresholds (https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axeAPI)","<span class=\"title style-scope ytd-mini-guide-entry-renderer\">You</span>","#endpoint > span"
